entrez	uniprot	gene
100687720	A0A8C0SBA6	CTPS1
100855947	A0A8I3S154	TK1
100856150	A0A8C0PJE1	ENPP1
119865989	A0A8C0TRN3	DTYMK
475277	A0A8C0MVH5	NT5C3A
475277	A0A8C0N0C8	NT5C3A
476823	A0A8C0RNZ0	RRM1
477809	A0A8C0PN05	NT5C2
478593	A0A8I3Q010	UMPS
480558	Q50KA9	NME1
480851	A0A8C0SM95	CTPS2
482188	A0A8I3NFG8	DCK
482963	A0A8C0MG86	RRM2
483009	A0A8P0SA97	CAD
483309	A0A8I3QEE9	NT5C
485604	A0A8I3P9R4	ENTPD3
489903	A0A8C0M3Y7	DCTPP1
607417	A0A8C0PYK6	TYMS
608503	A0A8C0NU99	UCK1
608979	A0A8C0Z0Q7	UCK2
609318	A0A8I3PIE7	ASMTL
610291	A0A8C0RQJ3	CMPK1
